municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 14:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 14:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 14:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 14:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 15:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 15:10:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 15:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 15:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 15:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 15:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 16:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 16:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 16:20:00.0;0,80;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 16:30:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-16 16:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 03:00:00.0;1,80;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 03:10:00.0;1,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 03:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 03:30:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 03:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 03:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 04:00:00.0;0,20;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 04:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 04:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 04:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 04:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 04:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 05:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 05:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 05:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 05:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 05:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 05:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 06:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 06:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 06:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 06:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 06:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 06:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 07:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 07:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 07:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 07:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 07:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 07:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 08:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 08:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 08:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 08:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 08:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 08:50:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 09:00:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 09:10:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 09:20:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 09:30:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 09:40:00.0;0,00;
ARAPIRACA;270030001C;AL;ARAPIRACA;-36,561982;-9,801054;2017-02-21 09:50:00.0;0,00;
