municipio;codEstacao;uf;nomeEstacao;latitude;longitude;datahora;valorMedida
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 08:40:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 08:50:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 09:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 09:10:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 09:20:00.0;0,20;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 09:30:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 10:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 11:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 12:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 13:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 14:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 15:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 16:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 17:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 18:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 19:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 19:10:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 19:20:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 19:30:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 19:40:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 19:50:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 20:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 20:10:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 20:20:00.0;0,20;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 20:30:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 20:40:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 21:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 22:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-02 23:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-03 00:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-03 01:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-03 02:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-03 03:00:00.0;0,00;
CAMPINAS;350950201A;SP;Vila Vitoria;-47,171;-22,977;2017-02-03 04:00:00.0;0,00;
